Campaign_code,Campaign_Name,Start_Date,End_Date,Platform,Channel,City_ID,Objective,Ad_Format,Spend,Impressions,Clicks,,
FB_2023_10_Diwali,Diwali Delights 2023,20-10-2023,15-11-2023,Facebook,Paid Social,1,First Orders,Video," 3,500 "," 42,000 "," 10,521 ",,
FB_2023_10_Diwali,Diwali Delights 2023,20-10-2023,15-11-2023,Facebook,Paid Social,2,First Orders,Video," 3,000 "," 36,000 "," 10,433 ",,
IG_2023_12_Christmas,Christmas Cravings 2023,15-12-2023,31-12-2023,Instagram,Paid Social,1,Repeat Orders,Carousel," 2,500 "," 22,500 "," 5,745 ",,
IG_2023_12_Christmas,Christmas Cravings 2023,15-12-2023,31-12-2023,Instagram,Paid Social,3,Repeat Orders,Carousel," 2,800 "," 25,200 "," 5,493 ",,
GG_2024_01_NewYear,New Year New Flavors 2024,01-01-2024,10-01-2024,Google Ads,Paid Search,2,First Orders,Search," 1,800 "," 9,000 "," 6,545 ",,
GG_2024_01_NewYear,New Year New Flavors 2024,01-01-2024,10-01-2024,Google Ads,Paid Search,4,First Orders,Search," 2,000 "," 10,000 "," 7,607 ",,
FB_2024_01_Republic,Republic Day Combo Sale,20-01-2024,28-01-2024,Facebook,Paid Social,1,First Orders,Story," 1,650 "," 19,800 "," 11,861 ",,
IG_2024_02_Valentine,Valentineĺs Meal Magic 2024,05-02-2024,20-02-2024,Instagram,Paid Social,3,Brand Awareness,Video," 2,800 "," 25,200 "," 9,556 ",,
YT_2024_03_Holi,Holi Hunger Fest 2024,10-03-2024,25-03-2024,YouTube,Display,2,First Orders,Video," 2,500 "," 17,500 "," 9,934 ",,
YT_2024_03_Holi,Holi Hunger Fest 2024,10-03-2024,25-03-2024,YouTube,Display,5,First Orders,Video," 2,200 "," 15,400 "," 9,049 ",,
GG_2024_04_IPL,IPL Snack Fever 2024,01-04-2024,30-05-2024,Google Ads,Paid Search,3,Brand Awareness,Search," 4,650 "," 23,250 "," 7,988 ",,
YT_2024_04_IPL,IPL Snack Fever 2024,01-04-2024,30-05-2024,YouTube,Display,1,Brand Awareness,Video," 5,200 "," 36,400 "," 10,596 ",,
FB_2024_07_Monsoon,Monsoon Binge Bonanza 2024,10-07-2024,10-08-2024,Facebook,Paid Social,1,Revenue Growth,Carousel," 3,500 "," 42,000 "," 5,460 ",,
FB_2024_07_Monsoon,Monsoon Binge Bonanza 2024,10-07-2024,10-08-2024,Facebook,Paid Social,6,Revenue Growth,Carousel," 3,000 "," 36,000 "," 6,336 ",,
IG_2024_08_Independence,Independence Day Indulgence 2024,05-08-2024,20-08-2024,Instagram,Paid Social,1,Brand Awareness,Video," 2,600 "," 23,400 "," 8,410 ",,
IG_2024_10_Navratri,Navratri Feast Offer 2024,02-10-2024,12-10-2024,Instagram,Paid Social,2,First Orders,Story," 1,800 "," 16,200 "," 10,239 ",,
FB_2024_10_Diwali,Diwali Delights 2024,25-10-2024,15-11-2024,Facebook,Paid Social,1,First Orders,Video," 4,000 "," 48,000 "," 10,142 ",,
YT_2024_12_Christmas,Christmas Cheer 2024,10-12-2024,31-12-2024,YouTube,Display,1,Repeat Orders,Video," 2,500 "," 17,500 "," 10,091 ",,
YT_2024_12_Christmas,Christmas Cheer 2024,10-12-2024,31-12-2024,YouTube,Display,4,Repeat Orders,Video," 2,000 "," 14,000 "," 10,931 ",,
IG_2025_02_Valentine,Valentineĺs Cravings Reloaded 2025,01-02-2025,15-02-2025,Instagram,Paid Social,3,Brand Awareness,Story," 2,800 "," 25,200 "," 7,162 ",,
GG_2025_05_Summer,Summer Refreshers 2025,01-05-2025,31-05-2025,Google Ads,Paid Search,1,Revenue Growth,Search," 3,500 "," 17,500 "," 6,618 ",,
GG_2025_05_Summer,Summer Refreshers 2025,01-05-2025,31-05-2025,Google Ads,Paid Search,6,Revenue Growth,Search," 3,000 "," 15,000 "," 5,503 ",,
FB_2025_08_Raksha,Raksha Bandhan Specials 2025,10-08-2025,25-08-2025,Facebook,Paid Social,2,Repeat Orders,Carousel," 2,000 "," 24,000 "," 9,840 ",,
FB_2025_08_Raksha,Raksha Bandhan Specials 2025,10-08-2025,25-08-2025,Facebook,Paid Social,7,Repeat Orders,Carousel," 2,000 "," 24,000 "," 8,401 ",,
